GSM2367635	GSM2367636	GSM2367637	GSM2367638	GSM2367639	GSM2367640	GSM2367641	GSM2367642	GSM2367643	GSM2367644	GSM2367645	GSM2367646
10079	10.205753	12.411394	9.895972	10.799934	10.26183	10.890393	10.297916	10.208127	10.280524	12.796229	9.666679	12.066697
10081	7.4904227	7.933282	7.6911163	8.288782	7.3967776	7.4138823	7.4242463	7.5512323	7.854208	7.7761974	7.643982	8.261817
10082	7.76175	8.057362	8.203927	7.88964	7.9918194	8.093921	8.756507	8.125245	8.843568	8.241601	8.34177	8.3421335
100861522	5.8872166	5.835303	5.7618284	5.867407	5.4194837	5.88231	5.6359205	5.937106	6.005625	6.1301184	5.8084536	5.774033
100862704	6.65816	6.7230773	6.7586465	6.8504314	6.5848174	6.798342	6.757951	7.16344	7.0148134	6.6996365	6.882805	6.9064784
10087	8.431697	9.730598	9.957874	8.908463	9.271604	9.084166	8.625877	8.943502	9.373099	8.989946	9.124116	9.581525
100873955	6.327943	5.8580365	5.9494443	6.0291758	6.1493597	6.1064053	5.9990087	6.02424	6.06851	6.087999	6.254245	5.948412
100874047	6.007375	5.8973265	5.983783	5.8707457	5.6841855	5.7833858	5.8648324	6.0211544	5.926164	5.867976	6.0159597	5.8972235
100874064	6.0916276	6.1028953	6.11492	6.3106422	6.1554093	6.197743	6.225931	6.4102736	6.2831454	6.1125793	6.2899685	6.341742
100874107	5.747638	5.8340344	5.88177	5.786247	5.9145045	5.9571114	5.9163427	5.997537	5.989395	5.9565034	6.0754743	5.8493295
100874222	6.0394635	6.2223268	5.936645	5.9871335	6.0790386	6.240924	6.1720095	6.49154	6.430754	6.011914	6.294567	6.1446757
100874234	6.3743286	6.4153714	6.452931	6.3576865	6.4846034	6.4157515	6.4184685	6.3988786	6.37135	6.382746	6.517546	6.5306106
100874251	6.489205	6.5377793	6.2672915	6.223616	6.006546	6.289125	6.3284683	6.39664	6.3793097	6.1416545	6.2895203	6.309446
100885850	9.073513	8.969173	8.846562	9.651875	8.719845	8.640612	9.359687	8.875309	8.880092	8.829436	8.73313	9.419399
10092	10.273959	10.170276	10.608154	8.623993	9.698929	9.028544	9.362608	9.253414	9.26956	9.714606	9.455208	9.342972
10093	9.270546	9.469533	9.59491	10.01655	9.576648	9.097049	8.675931	8.9017935	8.960917	9.362104	8.934685	9.088352
10094	9.710957	9.482687	9.994346	10.40557	9.874803	10.469808	9.89855	9.5418215	8.843947	9.735054	8.930386	8.79118
10095	6.830039	6.773055	7.7379804	7.365885	7.704319	7.1851006	7.2554827	6.8157377	6.809169	7.7215333	6.526141	6.7113543
10096	8.014767	7.693994	8.063	6.977627	7.0785985	6.861404	6.9584227	6.6833506	6.8592277	7.278565	7.134413	6.7828684
10099	9.482237	9.713947	9.023489	9.818722	9.743969	9.184349	9.426876	8.730044	9.333052	9.765836	9.520983	9.950509
10101	6.9995427	7.4459105	6.8870883	7.2019787	7.3067956	7.756048	7.8551097	7.3641133	7.4281955	6.803519	7.763702	7.969147
10103	6.508142	6.4556813	6.218055	6.2193913	6.3654604	6.5065084	6.5972047	6.81144	6.538348	6.4700036	6.706104	6.4561825
10105	6.9605136	6.787948	6.5270762	6.7344766	6.3250866	6.4023747	6.5192327	6.9482536	6.6189747	6.194229	6.639423	6.812253
10106	10.062643	10.423981	10.045795	10.573554	10.257304	10.426572	10.321078	10.021469	10.180106	11.004866	10.021469	10.789531
10112	7.943248	7.219348	6.669296	8.675551	6.497945	8.610155	8.74493	6.573711	7.1792917	7.8318706	8.753699	8.365894
10113	7.9210052	9.097523	7.8324337	7.788508	7.1990075	7.519764	8.015392	7.563933	7.2490783	6.606278	7.289376	7.793666
1012	6.3501897	6.447905	6.526141	6.3019233	6.185722	6.402022	6.2715387	5.9888067	5.9926457	6.821567	6.4422216	6.714853
10121	9.346827	9.485772	9.2772	9.698394	9.572762	9.833807	9.32654	9.279229	9.15685	9.760197	9.18001	9.287638
10123	6.3465753	6.143382	6.596661	6.1558995	6.285708	6.060713	6.1131787	6.3151784	6.3720217	6.5492535	5.934148	6.0387616
10124	9.00236	8.426011	7.834409	8.144204	8.710104	8.556756	8.465157	7.5601892	7.4906735	8.276577	8.369806	7.9860816
10125	5.873395	6.2390475	6.7128625	6.038323	6.292664	6.2043533	5.948129	6.1737757	6.052372	6.1099596	5.896644	5.9672065
