GSM2367647	GSM2367648	GSM2367649	GSM2367650	GSM2367651	GSM2367652	GSM2367653	GSM2367654	GSM2367655	GSM2367656	GSM2367657	GSM2367658	GSM2367659	GSM2367660
10066	8.109313	7.1003685	7.8490076	7.599251	7.4414663	7.9160466	7.5999665	7.340454	7.591473	7.195362	7.3063517	7.552019	6.967866	8.378199
10067	10.360356	10.2903185	10.571583	10.499246	10.37226	10.690923	11.390719	10.26489	12.0997305	11.172617	11.419484	9.43462	9.361108	12.482288
1007	6.1239433	6.001937	6.05829	6.1614094	6.3317213	6.275538	6.158142	6.371105	6.1939387	6.202932	6.159877	5.998221	6.193757	6.1543703
10071	6.0277996	6.1213207	6.099803	6.0809054	6.042056	6.0831213	6.265431	6.2075534	6.108257	6.392846	6.060329	6.106638	5.872513	5.9595423
10072	6.8771133	6.5499825	6.765559	6.767971	6.483424	6.461795	7.254117	6.6990576	7.244011	6.8446217	7.45426	6.2427444	6.6031256	7.5460906
10073	8.777269	8.843568	8.691641	8.420078	8.563371	9.680888	9.113568	8.540216	8.818848	8.981214	9.180899	8.894354	8.408069	9.176737
10075	7.5664644	7.5099087	7.4557767	7.099787	7.0595627	7.877145	8.018806	7.3656187	7.8315682	8.720291	7.0148134	7.3216944	7.4117465	7.827139
100750326	6.1333876	5.851013	5.5587926	5.7210484	5.9964705	6.0210686	5.9563904	5.9854574	6.1205373	5.8964286	5.847444	6.0006585	6.102831	5.8681536
10076	5.827093	6.127897	5.8179274	6.1123476	6.129924	5.841146	6.059909	6.109182	6.1067877	6.0088987	5.9056473	6.0534344	5.905298	6.2174115
10079	11.134769	11.217345	11.412015	10.804655	10.19789	11.855921	10.877518	10.689748	10.0442095	10.491528	10.36428	10.522266	10.322711	10.342622
10081	8.156991	7.699729	7.8315682	7.750684	7.847539	8.050703	7.8391657	7.734599	8.336648	8.023514	8.052867	7.920367	7.624655	8.370443
10082	9.020817	9.363096	8.035123	8.688723	8.325473	8.608591	9.102166	8.662271	8.5687065	8.540216	8.70938	8.678676	8.216396	7.952552
100861522	6.141551	5.9687414	5.8162794	6.093604	5.918341	5.8933415	5.98603	6.037368	6.0315413	5.8100224	5.683354	5.843275	6.0185876	5.9411154
100862704	6.691653	6.5904546	6.8810177	6.8158755	6.6624246	6.609811	6.4610205	6.783486	6.498469	6.615	6.477255	6.7949457	6.605745	6.6676126
10087	9.254398	8.922137	9.055145	8.85879	9.26956	9.648877	8.795628	8.946144	8.469046	8.3570595	8.340718	9.12222	8.887215	8.394131
100873955	6.130327	6.0000114	6.239763	5.9455333	6.0988383	6.03681	5.960431	6.025853	6.033613	6.058712	6.036568	6.122813	5.926583	6.0413737
100874047	5.80893	5.961706	5.761934	6.0495167	5.825148	5.876441	6.074194	5.991059	6.016015	5.965705	5.9566092	5.8435693	5.838877	5.9621086
100874064	6.2823367	6.274685	6.1188393	6.0029006	6.1345615	6.067254	6.0853815	6.2128196	6.2612557	6.1700134	6.220033	5.9899225	6.1132183	6.218215
100874107	6.039638	5.8460736	5.7338233	5.853604	5.770233	5.7338233	5.9299965	5.914312	5.808998	5.8544397	5.999753	5.760834	5.752939	5.8944774
