Genes	GSM2367626	GSM2367627	GSM2367628	GSM2367629	GSM2367630	GSM2367631	GSM2367632	GSM2367633	GSM2367634	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
100506084	6.1637583	6.2988544	6.38366	6.093231	6.2568116	6.2113485	6.089684	6.310697	6.1193604	6.340053	6.499379	6.4588366	6.240157	6.242869	6.1984277	6.4965477	6.2662606	6.26005	6.277722	6.254692	6.3360643	6.158832
100506136	5.8832216	6.1577606	6.112058	6.065962	6.0813518	6.073371	6.16336	6.156706	6.0407243	6.413816	6.1120143	6.118081	6.1741123	6.0815167	6.37915	6.299969	6.2853155	6.115059	6.4213886	6.204652	6.248439	6.240296
100506164	6.3029747	6.211631	6.260802	6.2056785	6.009785	6.314327	6.1750493	6.145748	6.6153984	6.084916	6.154932	6.1628966	6.150915	6.3315973	5.898272	6.2579975	5.9991603	6.065	6.4078665	6.1967463	6.1914268	6.019892
100506668	6.6281986	6.566751	6.9726577	6.550721	6.7128625	6.7489576	6.564203	6.521217	6.4168067	6.622128	6.7044897	6.4838576	6.4412684	6.538463	6.3399134	6.8500943	6.6805463	6.3506794	6.3665833	6.5884395	6.5223737	6.4583263
100507003	5.7547526	6.0129843	6.007277	5.957779	5.856587	5.9541483	5.814605	5.833441	5.8461757	5.9734693	5.855231	5.694427	5.847957	5.809861	5.8452873	5.823686	5.955959	6.00995	5.838076	5.9482017	5.8701015	5.7720847
100507436	6.4668193	6.9161987	6.529578	6.7719064	6.812564	6.5422096	6.3853307	6.6027317	6.4635706	6.376735	6.726819	6.432094	6.369423	6.197668	6.4455733	6.7269716	6.173324	6.5019383	6.556829	6.436104	6.285592	6.1212964
100507470	6.1208806	6.03132	6.178324	6.1557865	5.963052	6.235338	6.0184684	5.9230857	5.9895372	5.9925785	5.9150887	5.9338303	5.8610277	6.149805	5.8933043	5.860036	5.894087	5.994057	5.856507	5.8944645	5.722369	6.05284
10051	5.895507	6.1260405	5.8835435	5.7072315	5.959853	5.9881544	6.000927	5.9387727	6.081615	6.144836	6.194984	6.0574584	6.142118	5.7950783	5.974946	5.9340634	6.071857	5.8759203	5.9063764	6.0218964	5.8392076	5.7498994
10053	6.1072803	5.98321	6.0111623	6.107775	5.946853	5.5082603	6.0557966	6.137165	5.89165	5.6824446	5.907002	6.103414	5.9290395	5.8373003	5.9374623	5.6337647	5.688523	5.979695	5.8767543	5.9132423	5.863484	5.9882827
10055	11.273318	11.823838	11.259078	11.221839	11.542117	11.199814	11.296018	10.867225	11.096465	10.851068	10.878725	10.96645	11.044081	10.837254	10.932449	10.844062	11.128408	10.394032	10.824324	10.57451	11.28015	10.725907
10057	9.241021	7.6828356	8.199512	8.321275	7.7685246	8.314085	8.9443655	7.8533607	8.865488	7.8875685	7.684227	7.780905	7.610049	7.3240476	8.0136175	8.234946	8.187646	7.0278068	7.954435	7.533351	8.980758	7.7727876
1006	5.756528	5.7801337	5.7037644	5.700961	5.609132	5.650058	5.6510777	5.5192313	5.5533814	5.502461	5.748341	5.516343	5.581915	5.748703	5.554006	5.652713	5.6587024	5.7080684	5.559646	5.496172	5.7525983	5.7232943
10060	6.3600245	6.7425966	6.449788	6.3548193	6.4838576	6.6346974	5.931874	7.4521036	6.240432	7.280247	7.5599074	7.6090193	6.9028254	6.8686686	7.3288593	6.7563224	7.003575	7.250672	7.3101974	7.335349	6.8676195	7.831291
10061	7.1846485	8.114431	7.7041216	7.5629644	7.3977227	7.4171934	7.3488555	7.217768	7.476482	7.1609287	6.7890887	7.2157106	7.685245	6.534381	7.143942	7.003953	6.823463	7.6018076	7.124702	6.971185	7.0088663	7.0915637
10062	10.588978	9.658091	9.912647	9.86474	10.19863	10.644462	9.8125725	9.863494	10.26649	10.353489	9.656423	10.165764	9.257991	10.184235	10.103876	10.632645	10.53564	9.451739	10.351933	10.40557	10.999882	10.508077
10066	7.6860623	7.255929	7.4654417	6.995014	7.2769294	7.4195447	7.318438	7.3229275	7.1128945	7.2989893	6.7670407	7.1574445	6.86639	7.039536	7.1593795	7.399455	7.596136	6.753441	7.1417875	7.122849	7.364858	7.0094767
10067	9.7163725	10.294478	9.819909	9.709816	9.5801935	9.748086	9.731264	9.629954	10.170276	9.283625	9.125544	9.505675	9.413348	9.344108	9.345153	9.513022	9.805389	9.59491	9.404527	9.219633	9.50778	9.422085
1007	6.1484485	6.0138106	6.074294	6.015396	6.0449085	6.2225733	6.152859	6.127333	6.1511083	6.378598	6.487513	6.5907173	6.249926	6.3347898	6.554504	6.513928	6.612181	6.6897545	6.308488	6.3987074	6.3804502	6.340771
10071	5.942931	5.950486	5.849358	6.037145	6.015205	6.0129843	6.124499	6.132252	5.9870267	5.9693727	5.7708287	6.1074553	6.035952	5.967233	5.945218	6.091135	5.990826	6.024738	5.8119187	6.0758796	6.020933	5.9838347
10072	6.7468157	7.5800424	7.174013	6.458635	6.7798467	6.687101	6.6999025	6.9620004	6.549856	5.9173107	6.5213165	6.2310133	6.551064	6.698749	6.5593185	6.1626344	5.9028034	6.516878	6.402557	6.228474	6.5533924	6.442807
