Genes	GSM2367621	GSM2367622	GSM2367623	GSM2367624	GSM2367625	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
116328	6.65688	6.6412477	6.5909615	6.5813646	6.297291	6.980311	6.9861712	7.071574	6.572955	6.7269716	7.00225	7.3128023	7.030093	7.252818	6.8593917	7.0872245	6.7141232	6.6267
116337	6.185826	6.146628	6.0953126	6.128863	6.3641195	6.3006005	6.349611	6.430754	6.253006	6.4566545	6.2764792	6.7558794	6.4549093	6.3441224	6.4088297	6.372107	6.285262	6.3870254
116369	5.899522	5.9470496	5.7684293	5.8002973	5.811714	5.836089	5.9423084	6.1502776	5.8618064	5.7835655	6.0277996	5.9542847	5.926305	5.9443364	5.748678	5.7883077	5.9299626	5.8020387
116372	6.932221	6.104562	6.226346	6.161987	5.8077884	5.9735723	5.9445844	5.9862275	6.311393	5.881905	5.8051906	5.9824057	5.94794	6.1639066	6.0651484	6.032131	6.2417374	6.0350904
1164	8.7654295	7.796509	8.33387	7.517473	6.887981	7.236733	7.6749864	7.9363585	7.553525	7.391738	7.639788	7.2545857	7.5800424	8.081623	7.257247	7.574646	8.415398	7.5058208
116437	5.8480306	5.878289	5.6507106	5.7587843	6.0248737	5.8673406	5.851888	5.917831	5.8625	5.7295547	5.8945436	5.8338256	5.9232717	5.9778905	5.920263	5.995202	5.7932286	5.950744
116461	8.000505	7.986696	8.383613	8.075867	7.895682	8.273222	8.094848	8.210422	8.010984	7.995601	8.197889	7.8437533	8.277288	7.869919	7.9578414	7.872281	8.514924	7.7051134
116519	10.690923	11.042707	10.598935	11.291413	11.983836	11.575062	11.668313	12.303679	8.200127	10.734735	10.524182	10.240195	11.895253	9.442976	11.057139	12.660348	10.929925	12.232065
116534	6.0959263	6.0556946	5.8745136	5.9351687	5.7511535	6.204652	6.0857906	6.172108	6.0963645	6.1054077	6.051727	6.1168423	6.115059	6.0833545	6.170705	6.211835	6.1413035	6.009135
116541	10.565656	10.362037	10.039229	10.403578	10.1424885	10.298582	10.69189	10.397672	10.082789	10.77699	10.563805	10.795453	10.316027	10.679755	10.221564	10.755744	10.348341	10.563805
116835	6.847176	7.1135798	6.8376403	6.7708235	6.7373714	6.1538234	6.647782	6.425136	6.860973	6.7536254	6.124864	6.5216637	6.808344	6.582907	6.38366	6.6732197	6.9109693	6.4814253
116840	6.2163587	6.4386625	6.280607	6.6041746	6.6426325	6.0810204	6.1891775	6.2789326	6.1686907	6.3917317	6.058375	6.1061034	6.252619	6.462178	6.297738	5.9786034	6.178002	6.306398
116841	7.332374	7.2594414	7.252818	7.569484	7.8696184	6.9667435	7.0325565	6.7955723	7.271393	7.2351313	6.6432056	7.522689	7.1432414	6.8758335	6.5777764	7.165541	6.976651	7.374181
116842	13.735615	13.164746	12.843142	12.910939	13.226934	12.5381565	12.75502	12.443503	12.29295	12.583604	12.32012	11.69337	13.155706	12.567794	12.672106	12.166033	12.485078	13.11698
116843	8.358726	8.050102	8.3778715	8.426378	8.603963	8.617317	8.162138	7.807427	8.718695	8.395864	8.301339	8.550836	8.119096	8.507345	8.419416	8.067466	9.226682	8.257655
116844	11.538367	11.882567	12.055908	12.900458	10.857064	12.016303	12.4085865	12.234402	12.66339	11.763757	13.051277	11.678782	12.0997305	13.305944	13.546892	11.819168	11.60424	12.106657
116931	6.0387764	5.879779	5.7440476	5.7188516	5.8019857	5.8043237	5.871382	5.7743735	5.7712274	5.8065395	5.952619	5.9240136	5.9206963	5.8408093	5.9254637	5.7848167	5.883691	6.007507
116937	5.71788	6.017051	5.9728093	5.996085	6.1143064	5.901601	5.7600727	5.8858547	5.9012938	5.793089	5.7432094	5.9764466	5.862895	5.802056	5.783428	5.818077	5.826488	5.9273887
116966	5.996085	5.914993	5.8748336	5.919444	5.9624953	6.000827	5.8907084	5.9752645	5.837788	6.0019093	5.8876686	6.105771	6.06928	5.9400363	5.976775	5.995842	5.8801146	5.7784524
116983	6.0420737	6.129567	5.8010073	6.051256	6.0757165	5.7093616	5.9654527	5.827483	6.1565986	5.982703	5.97041	5.8341537	5.749014	6.0709953	6.1982036	5.8899717	6.049667	6.04984
116985	5.8035064	5.857265	5.8286023	5.845717	5.793798	5.3932004	5.6232567	5.5255213	5.762965	5.559646	5.738881	5.528473	5.7405086	5.644798	5.658355	5.7141714	5.871878	5.7129297
116987	7.536131	7.863768	7.6768374	7.4162292	7.3190045	7.6436744	7.9278936	7.744378	7.73683	7.967295	7.5067835	7.9846096	7.3067956	8.010648	7.4644303	7.8110776	7.0654235	7.320359
116988	8.855613	7.9405074	8.090644	8.546571	8.809791	7.7449274	7.8318706	7.870784	7.6984267	8.02153	7.9306173	8.08784	8.423189	7.756906	8.19307	7.7563343	7.8368526	8.072793
117143	7.612979	7.6984267	8.147161	8.413647	7.660125	7.9451394	7.5517445	7.6041603	6.951007	7.392973	7.7225537	7.6503034	7.3853416	6.7165456	7.427126	7.9796867	6.9073553	7.6609216
117153	5.8187404	5.749355	5.904409	5.5928483	5.7358327	5.511722	5.7524266	5.9852653	5.84264	5.739086	5.830259	5.966332	5.679971	5.881417	5.88381	5.7452106	5.9356036	5.9635496
117177	9.016124	8.490352	9.347385	9.367687	8.586525	8.514924	8.684645	8.67909	9.990126	8.508551	8.8605385	9.153474	9.026661	8.736009	8.580326	8.608591	8.487644	8.567929
117246	6.528767	6.381655	6.055344	6.561673	6.430844	6.2013702	6.049468	6.194229	6.3389926	6.1263714	6.1031313	6.67001	6.131883	6.1666102	6.368533	6.1308923	6.0466485	6.3378773
1173	8.752461	9.028544	8.8918495	8.959472	9.135011	8.694088	8.952213	8.598409	9.151113	8.972381	8.961768	8.733493	8.737994	8.603618	8.595989	8.502413	8.983691	8.813078
1175	13.226934	12.64122	13.199747	12.967784	13.04754	13.0344925	13.011509	12.843142	12.976363	12.996738	12.5802555	12.926554	13.099913	13.091461	13.087407	12.90447	13.354557	13.450165
1178	6.4171076	6.7016945	6.313161	6.2081184	6.592084	6.997952	7.6408877	6.7785854	6.374906	6.6769657	6.3274913	7.988853	6.5636187	6.5313005	6.297231	7.7005143	6.7406993	6.543581
118	10.674332	10.881167	11.333437	10.752214	11.185485	11.399206	11.10929	10.963808	11.849956	11.050638	11.026907	11.046816	10.945939	11.077098	11.263394	10.853525	10.994522	10.887715
1180	6.226691	5.8105993	5.4344144	5.8750052	5.7327204	5.5692973	5.8214345	5.9255395	5.870813	5.671549	5.8243523	5.7400675	5.667439	5.8051195	5.7636123	5.9389486	5.9015026	5.7880993
1181	6.421708	6.2492857	6.3164363	6.340329	6.382824	5.849863	6.2245774	6.4679017	6.1927695	5.8429465	6.017051	5.775601	5.8974304	6.1026564	5.9080544	5.8673134	6.034866	6.1795177
1182	8.53189	7.716425	8.387347	8.101944	8.23835	8.262809	8.256363	8.167601	7.8330464	8.366216	7.914547	8.394131	8.208226	7.7862477	8.125931	8.289099	8.194322	7.958714
1183	6.0019655	5.923728	5.82986	5.9793653	5.8930387	6.0135055	5.8572097	6.0859513	5.892687	5.9916005	5.839325	6.0162344	5.792656	6.008559	5.9571114	6.1567616	5.892139	6.1226645
118424	6.6162057	6.528441	6.6359816	6.6928763	6.6374464	6.518927	6.329809	6.4624777	6.4544406	6.628338	6.5491333	6.669727	6.6280684	6.9755216	6.3591356	6.7376823	6.471113	6.1763887
118429	9.2234	9.436196	8.951301	9.082955	9.07021	9.59917	9.3314905	9.325551	9.6839485	9.659433	8.986938	9.261709	9.467494	8.970549	9.224844	9.316911	9.365162	9.218585
118472	8.406384	8.950818	8.994704	9.341044	9.333052	9.636183	9.561169	9.825167	9.123641	9.640859	9.399877	9.938972	9.600394	9.677348	9.466255	9.87921	9.363582	9.990803
118490	5.999306	5.9356513	6.004713	5.782509	6.0088987	5.841992	5.8192806	5.8314104	5.7212796	5.858092	5.9768395	5.875292	5.9238086	5.915397	5.9788218	5.8465867	6.0235777	5.9545755
1186	12.120978	11.120401	10.873004	11.385914	11.584244	11.113385	11.314518	10.999882	10.594818	11.099021	11.07411	11.026907	11.050638	11.529769	11.328349	11.004866	11.593374	11.130774
118611	5.5702887	5.407602	5.5631313	5.6675563	5.7119994	5.759743	5.6585593	5.784152	5.8619003	5.623045	5.644717	5.8049817	5.5918536	5.8702173	5.791591	5.8425198	5.778716	5.703202
118663	6.668584	7.5040565	7.6973324	8.305847	7.678919	7.580297	7.325217	7.5106254	7.274327	6.986557	7.681753	7.127588	7.529737	7.3448462	7.6804934	7.5106254	7.5599074	7.8116374
1187	6.1445074	6.3638163	6.0948987	6.030806	6.201303	6.264315	6.101645	6.262659	6.8579865	6.33323	6.054779	6.1408224	6.3758144	6.650325	6.1257358	6.5359116	6.2410746	6.378904
118788	8.02613	7.2787933	7.6317844	8.035456	6.858506	7.4820943	7.596921	7.0741673	6.9314895	7.2023296	7.529468	7.3544993	7.701891	6.745874	7.2998934	6.8897815	7.87395	7.5654335
118813	5.719597	5.8364024	5.766887	5.7715335	6.0896025	5.7441406	5.897074	5.758327	6.0121465	5.620136	5.9134393	5.6359205	5.8052945	5.753066	5.7079883	5.7220902	5.627296	5.75156
118881	7.8232913	7.513991	8.05704	8.54506	7.3360085	7.571581	7.9022317	7.629335	7.2404013	7.6277423	7.460224	8.146539	7.6681185	7.6728497	7.7970653	7.577954	7.3627462	7.82304
1191	6.2634926	6.924242	6.70821	6.1522827	6.8381295	7.545248	7.6833663	7.747994	6.3871818	7.2246623	6.9377418	7.1520925	6.795129	6.9453564	7.1109643	7.923487	6.2016664	7.42024
1192	9.59917	10.26489	9.883163	9.966836	9.651349	9.772954	9.786266	9.598637	10.860379	9.835078	10.076432	10.267446	10.011588	9.799146	10.350004	9.698929	10.630743	9.862776
119391	6.1275806	9.009924	6.146358	6.638575	9.109977	7.305205	8.158205	7.99471	7.9025435	7.871408	7.6577277	8.277674	7.551026	7.8495917	7.242631	8.237344	7.615598	8.029385
119392	6.5489087	6.861928	6.767819	6.727459	6.5643234	6.944381	6.9163904	7.0691013	7.133765	6.6415205	6.974434	7.154024	6.863322	6.493135	6.8000283	6.722492	6.7643437	6.505281
119467	9.923825	9.335663	10.400209	9.774973	10.688536	10.594818	10.584649	10.722264	9.528138	9.540729	8.809791	8.834415	9.768525	10.282988	9.7024765	11.039864	8.533436	10.7738905
1195	7.063426	6.9755216	6.9291444	7.6739306	7.1619687	6.5949254	6.6116543	7.0381327	6.9942837	6.154397	6.7659087	6.25597	7.1070504	6.57157	7.075556	7.253889	6.528875	7.084068
119504	8.322	8.017557	8.128934	8.194612	8.528801	8.515331	8.288446	8.650956	7.9860816	8.315783	8.180278	8.266536	8.235221	8.01217	7.982357	8.369032	7.9160466	8.539096
119774	5.8263125	5.7386336	5.876873	5.771706	5.857981	5.911334	5.6629915	5.9244385	5.862107	5.8243656	5.770149	6.0178	5.7708507	5.914353	5.754542	5.9587607	6.0081353	5.8461757
12	14.807952	15.006159	15.045709	15.169383	14.908723	15.154691	15.225428	15.169383	15.006159	15.074045	15.31813	14.908723	15.154691	15.006159	15.204188	14.919895	15.1054325	15.204188
120	6.886897	8.548867	8.097096	7.6241565	8.343557	8.657885	8.455778	8.073398	8.668631	8.372309	8.424532	8.160264	8.376044	7.8567805	8.401062	8.304108	8.791952	8.13864
1200	10.336606	10.1887455	10.110692	10.153541	9.990803	10.159077	9.717971	9.813122	10.154319	9.7831135	10.588978	10.038595	9.76517	9.390124	10.470807	9.888323	10.757782	10.006411
120066	5.883702	6.041668	6.0098634	5.7773604	5.965441	5.806573	5.956137	5.7308664	5.8092613	5.7781677	5.917909	6.064219	5.920084	5.82159	5.9532366	5.8743854	5.8389983	5.6349516
1201	8.39894	8.7699	8.358726	8.44142	8.4938135	7.8015723	8.075217	7.9987593	7.7405114	7.9562244	8.114431	7.697583	8.183705	7.8725376	7.9297237	8.181165	7.9287744	7.874814
120103	6.8330927	6.69224	6.9286	6.8228188	6.852869	6.978441	6.7717485	6.673598	7.1080284	6.96863	7.102769	7.037005	6.9827566	6.786393	6.72278	6.2377787	6.848846	6.875454
120224	10.435765	7.9252295	9.745681	9.158265	8.828213	6.9256763	7.355611	6.3222103	7.3312593	6.820322	6.76149	6.0897474	7.316558	7.931802	7.0453954	7.4826217	6.4732776	6.903886
120227	8.4938135	7.5733805	7.810488	7.493299	7.6528177	7.5599074	7.6582394	7.5619116	7.4716926	7.4494367	7.5818715	7.7306304	7.737384	7.11716	7.3360085	7.495006	7.626019	7.4584484
