GSM2367626	GSM2367627	GSM2367628	GSM2367629	GSM2367630	GSM2367631	GSM2367632	GSM2367633	GSM2367634
100874251	6.346355	6.5907173	6.3981004	6.35298	6.3077545	6.3835754	6.2522297	6.255375	6.3144445
100885850	9.32858	8.500338	8.659957	8.305191	8.952584	8.520109	8.717201	8.904212	8.834833
10092	10.060448	10.4634075	10.210631	10.115336	9.790977	9.971775	10.121512	9.866083	10.090883
10093	9.094527	9.577265	9.186654	9.040746	9.294725	9.230441	9.258563	8.877073	9.303805
10094	7.90619	9.337285	8.9993305	8.5687065	8.578731	8.244178	8.953827	8.600776	8.078129
10095	6.8957014	7.458947	7.3574142	7.0161986	7.556803	7.2716274	7.5586333	7.067925	7.3888783
10096	7.0760202	7.9494634	7.9846096	7.826274	7.6794543	7.7435546	8.1455555	7.7225537	7.820832
10099	8.993844	11.972821	8.473397	9.812016	9.468495	9.135502	9.607436	9.104896	9.621903
10101	7.4034576	7.6978765	7.6970544	6.9554453	7.7325187	7.3775883	6.9070354	7.5011096	7.2480583
10103	6.702019	6.3631577	6.446345	6.278993	6.3324695	6.500556	6.348459	6.451745	6.5018415
10105	6.994082	7.373954	6.6973567	6.5495987	6.7624135	7.0033607	6.399286	7.5260267	6.5827703
10106	9.681582	9.675445	9.878501	10.575525	10.54271	10.599957	10.188095	9.540729	10.293678
10112	6.437529	7.2419395	6.95135	6.813588	7.1280284	7.292741	6.846324	6.5595546	6.793114
10113	8.453352	7.454714	8.929038	7.5108867	7.705679	8.0244255	7.5933924	7.4297915	8.293253
1012	6.0705514	6.5378957	6.4958	6.1046495	6.202042	6.42734	6.2029753	5.995447	6.6615977
10121	9.31382	8.722968	9.302338	9.228043	9.164599	9.444668	9.564203	9.155337	9.338842
10123	6.0376625	6.2016664	6.041296	6.4309435	6.161759	6.3877892	6.1789794	6.2314463	6.3645945
10124	6.633464	7.5952034	7.2428374	8.772856	7.865793	7.288493	8.573298	7.25132	7.3922586
10125	6.0089583	6.254775	5.8990602	6.717449	6.1750493	6.780984	6.6861296	6.3110547	7.0288196
10127	8.268076	7.9891286	8.001393	8.173954	8.472354	8.339655	8.185978	8.013911	8.520427
10129	6.389315	6.4971867	6.5600667	6.307031	6.446147	6.2234917	6.38366	6.2783284	6.212864
10134	11.518684	11.191357	11.11488	11.372001	11.199814	11.811203	11.661828	11.1161375	12.150413
10135	8.049773	9.547748	8.735	8.211817	9.047999	8.055512	8.159416	8.483442	8.197231
10137	7.9923906	7.362122	7.353105	7.5195427	7.677355	7.4930706	7.6450853	7.415587	7.0832353
10138	8.247868	7.309099	7.052147	7.616084	7.404772	7.9366665	7.561653	7.565181	7.604932
10139	6.809461	6.722645	6.6436324	6.587639	6.746349	6.7151666	6.6408067	6.7690763	6.8846426
10143	6.1392236	6.101512	6.17771	6.000927	6.073889	5.9734693	6.0545535	5.9927	6.1358566
10144	9.380544	9.107995	8.73076	8.378199	8.697586	8.44905	7.5162773	9.105797	7.9553676
10147	7.8849263	6.541207	7.0591416	6.7685614	6.6733556	6.951888	7.012599	6.9186325	7.1921144
10148	7.149876	7.569997	7.8001437	7.250672	7.99471	7.857349	7.298235	7.171914	7.4693394
10150	8.039665	8.090317	8.882541	8.175938	8.272125	7.917528	8.046635	8.584517	8.290877
10153	10.4420185	10.097319	10.513882	10.441143	9.995689	10.421143	10.023676	10.200101	10.365957
10154	6.233564	6.343827	6.200556	6.432794	6.151671	6.107974	6.6237903	6.0291433	6.264462
10155	8.625589	8.318928	8.330342	8.031812	8.248856	8.130484	8.368648	8.213418	8.261111
10156	5.9432874	5.906778	5.9513345	5.916198	6.0410237	5.998719	5.613439	5.9698462	6.0321617
