Genes	GSM2367587	GSM2367588	GSM2367589	GSM2367590	GSM2367591	GSM2367592	GSM2367593	GSM2367594	GSM2367595	GSM2367596	GSM2367597	GSM2367598	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
359	6.0477977	6.1558995	5.895532	5.9430814	5.7174726	5.8344393	5.956658	6.026858	5.8819337	5.960722	5.916213	5.9300094	6.1415005	6.052176	6.0735855	6.1035666	5.987752	6.023443	6.0516067	6.003933	5.9105973	6.2227497	6.124499	5.9701214	6.221131
3598	5.928789	7.2448955	7.055963	7.6849456	6.7934256	8.081006	6.4814253	6.310756	6.1813226	7.7893014	6.7254925	8.058261	6.840246	8.172393	7.7557516	5.8040943	8.170755	7.3214455	6.6577535	8.256981	8.015067	7.2287283	8.150524	8.360741	8.433859
359821	6.064018	6.1070724	6.0961747	5.849863	6.0274386	5.984875	5.979602	6.076654	6.189644	5.9757886	5.9203877	6.165909	5.843686	5.9669485	5.923681	5.8215604	6.003356	5.8259234	6.142202	6.1046276	5.9461756	5.96434	6.0089865	5.8866177	5.93361
359948	8.707736	8.876614	8.54506	9.249493	8.783916	9.223869	8.947339	8.809373	9.229985	9.049368	9.364077	9.014353	8.7206545	8.865114	9.1610365	9.413846	9.073076	9.387278	9.113151	8.842236	8.964504	9.579106	9.716997	8.453674	9.365162
36	7.3735094	8.896402	8.508886	9.125122	7.186521	8.841832	8.010984	8.507789	7.674708	7.7970653	8.9709635	8.85213	9.194186	9.05205	9.403517	7.651699	9.330563	9.055616	9.825823	8.723759	8.881706	8.78603	9.362608	8.235901	9.050705
360023	6.412699	6.3473506	6.2584815	6.390771	6.359212	6.229647	6.2201166	6.2073984	6.373309	5.773701	6.254775	6.3365135	6.3202887	6.1719775	6.5913796	6.343272	6.3956537	6.295201	5.8372536	6.0928297	6.2243705	6.0653706	6.194803	6.3541727	6.135671
3601	6.189426	6.157464	6.076012	6.115898	6.1191525	5.9756594	6.196815	6.0697517	6.0908623	6.194842	5.990088	6.0305877	6.1740384	6.01395	6.0699415	6.2102246	6.0616946	6.262358	5.740535	6.1288934	6.1825943	6.2180123	6.14734	5.964752	6.0594788
3608	10.840425	10.345369	10.559029	10.335881	10.5185995	10.662235	10.626561	10.363551	10.645498	10.69189	10.240195	10.615275	10.31334	10.365957	10.365957	10.970113	10.373185	10.3032	10.462529	10.16942	10.468932	10.538703	10.144803	10.362786	10.166591
3609	8.651302	8.298378	8.555681	8.374201	7.9390593	8.202007	8.593234	8.219031	8.644537	8.108722	8.78603	8.591365	7.985769	8.486291	8.548057	8.992555	8.337624	8.145215	8.586155	8.642704	8.946144	8.643087	8.47946	8.42889	8.430663
361	5.781814	5.51315	6.024919	5.8346114	5.8317127	5.948867	5.990868	5.924779	5.782083	5.913089	5.966549	5.781178	5.81377	5.945193	6.0115743	5.89854	6.002388	5.901752	5.7331977	5.6440854	5.844242	5.815192	5.8265195	5.723724	5.910479
