Genes	GSM2367567	GSM2367568	GSM2367569	GSM2367570	GSM2367571	GSM2367572	GSM2367573	GSM2367574	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
10038	7.3843946	7.4793577	7.557561	7.367232	7.554536	7.570246	7.180226	7.336874	7.5073004	7.225915	7.139204	7.163255	7.387462	7.2336164	7.184187	7.5119505	6.964302	6.771436	7.5070353	7.5252476	7.6298366
10039	7.7910404	7.9935756	8.074619	8.070285	8.146848	7.9237895	7.9390593	7.971831	7.8359427	7.8951325	7.905107	7.7435546	7.8443265	8.040632	7.8878098	7.847539	7.7549725	7.6868663	8.06996	8.004321	8.403891
1004	5.641039	5.617203	5.7981853	5.731184	5.7495747	5.6942954	5.994721	5.745724	5.9948125	5.748113	5.881481	5.810567	5.8024473	5.80463	5.9436407	5.838269	5.8626795	5.788774	5.797553	5.8050876	5.85064
10043	6.622731	6.6453304	6.4180136	6.469619	6.499691	6.8286695	6.4152017	6.4424253	6.5007625	6.280447	6.746518	6.6567273	6.528226	6.546821	6.5122905	7.001336	6.2131414	6.5160737	6.7663946	6.7760043	6.757022
10044	7.1664114	7.2840686	7.186521	7.415587	7.0515504	7.019201	7.2943664	7.338595	7.4742017	7.2638273	7.2430563	7.531053	7.1679626	7.4622436	7.21846	7.3284025	7.3507514	7.529468	7.17	7.847859	6.948081
10045	5.8498764	5.9964705	5.9737935	5.9704466	6.053655	5.981133	6.040305	5.8515453	5.9372816	5.975762	5.8869376	6.463676	5.848737	5.9246655	5.9282937	5.833902	5.979775	6.0373335	6.151968	6.012839	6.021883
10048	6.371198	6.4254203	6.303733	6.3960323	6.48594	6.232288	6.112868	6.382824	6.2194724	5.8757854	6.651441	6.1373906	6.270996	6.322919	5.9892325	6.4129553	6.2808785	6.560311	6.1898923	6.141114	6.6974998
10050	8.72758	8.438582	8.450936	8.51899	9.088831	9.049808	7.836524	8.583758	7.5863333	8.455403	8.285062	7.431309	9.218585	8.536745	7.6989417	8.655218	8.722633	6.994832	8.777269	8.415072	9.284656
100505975	5.72681	5.877796	6.032222	5.6770244	5.9077888	5.7870874	5.7273417	5.8080335	6.016057	5.9673243	5.8301177	5.8087554	5.81806	5.63748	5.8785644	5.7547526	5.798619	5.881018	5.8525696	5.789746	5.877728
100506084	6.6132364	6.634556	6.2635922	6.1742883	6.2622557	6.126779	6.2237005	6.2880955	6.340053	6.499379	6.4588366	6.240157	6.242869	6.1984277	6.4965477	6.2662606	6.26005	6.277722	6.254692	6.3360643	6.158832
100506136	6.15755	6.3328056	6.1064053	6.246685	6.2501917	6.158381	5.9895663	5.9656305	6.413816	6.1120143	6.118081	6.1741123	6.0815167	6.37915	6.299969	6.2853155	6.115059	6.4213886	6.204652	6.248439	6.240296
100506164	6.011516	6.002305	6.151279	6.2769465	6.0897684	6.095126	6.1623225	6.02025	6.084916	6.154932	6.1628966	6.150915	6.3315973	5.898272	6.2579975	5.9991603	6.065	6.4078665	6.1967463	6.1914268	6.019892
100506668	6.5030675	6.2668066	6.4777584	6.5980067	6.54345	6.5048304	6.521434	6.3455453	6.622128	6.7044897	6.4838576	6.4412684	6.538463	6.3399134	6.8500943	6.6805463	6.3506794	6.3665833	6.5884395	6.5223737	6.4583263
100507003	6.068108	5.7607408	5.78373	5.9403195	5.927378	5.86284	5.901451	5.9963717	5.9734693	5.855231	5.694427	5.847957	5.809861	5.8452873	5.823686	5.955959	6.00995	5.838076	5.9482017	5.8701015	5.7720847
100507436	6.302683	6.2936187	6.461795	6.4814253	6.493705	6.4243884	6.2475533	6.3973227	6.376735	6.726819	6.432094	6.369423	6.197668	6.4455733	6.7269716	6.173324	6.5019383	6.556829	6.436104	6.285592	6.1212964
100507470	6.0778303	6.0055566	6.274117	5.9092097	6.023501	5.8789883	6.058873	6.048098	5.9925785	5.9150887	5.9338303	5.8610277	6.149805	5.8933043	5.860036	5.894087	5.994057	5.856507	5.8944645	5.722369	6.05284
10051	5.914932	6.000277	5.943928	5.9986625	6.0090017	6.0550933	5.926632	6.0181375	6.144836	6.194984	6.0574584	6.142118	5.7950783	5.974946	5.9340634	6.071857	5.8759203	5.9063764	6.0218964	5.8392076	5.7498994
10053	5.932621	5.8819337	6.033613	5.694641	6.21033	5.9290004	5.7965636	6.0969033	5.6824446	5.907002	6.103414	5.9290395	5.8373003	5.9374623	5.6337647	5.688523	5.979695	5.8767543	5.9132423	5.863484	5.9882827
10055	10.45696	10.478214	10.697189	10.767206	10.729226	10.493496	10.565656	10.619372	10.851068	10.878725	10.96645	11.044081	10.837254	10.932449	10.844062	11.128408	10.394032	10.824324	10.57451	11.28015	10.725907
10057	7.2587976	7.7325187	7.898007	7.7145233	7.687102	7.649199	7.564906	7.4017634	7.8875685	7.684227	7.780905	7.610049	7.3240476	8.0136175	8.234946	8.187646	7.0278068	7.954435	7.533351	8.980758	7.7727876
1006	5.674373	5.4632936	5.637209	5.538331	5.4985456	5.6595592	5.648121	5.6364713	5.502461	5.748341	5.516343	5.581915	5.748703	5.554006	5.652713	5.6587024	5.7080684	5.559646	5.496172	5.7525983	5.7232943
10060	7.3598113	7.068303	7.028989	7.411964	6.8688235	7.9028144	7.5008125	7.250181	7.280247	7.5599074	7.6090193	6.9028254	6.8686686	7.3288593	6.7563224	7.003575	7.250672	7.3101974	7.335349	6.8676195	7.831291
10061	7.1035705	7.1962113	7.1043444	6.9410944	7.5001326	7.0662165	7.273427	7.36	7.1609287	6.7890887	7.2157106	7.685245	6.534381	7.143942	7.003953	6.823463	7.6018076	7.124702	6.971185	7.0088663	7.0915637
10062	10.190336	10.102546	10.174759	10.191914	10.483039	9.495366	10.269906	9.285086	10.353489	9.656423	10.165764	9.257991	10.184235	10.103876	10.632645	10.53564	9.451739	10.351933	10.40557	10.999882	10.508077
10066	6.9682617	7.1482706	6.923916	6.945925	7.1267715	6.996785	6.5932374	7.117836	7.2989893	6.7670407	7.1574445	6.86639	7.039536	7.1593795	7.399455	7.596136	6.753441	7.1417875	7.122849	7.364858	7.0094767
10067	9.502599	9.172357	9.33675	9.23254	9.619161	9.249493	9.13217	9.429193	9.283625	9.125544	9.505675	9.413348	9.344108	9.345153	9.513022	9.805389	9.59491	9.404527	9.219633	9.50778	9.422085
1007	6.293448	6.369423	6.1874633	6.3495455	6.3795624	6.064087	6.6364036	6.2846937	6.378598	6.487513	6.5907173	6.249926	6.3347898	6.554504	6.513928	6.612181	6.6897545	6.308488	6.3987074	6.3804502	6.340771
10071	6.008515	6.3812437	6.0810375	6.1610746	5.930034	6.1403666	5.9959064	5.8240514	5.9693727	5.7708287	6.1074553	6.035952	5.967233	5.945218	6.091135	5.990826	6.024738	5.8119187	6.0758796	6.020933	5.9838347
10072	6.37283	6.3347225	6.37804	6.4435596	6.801184	6.684452	6.3139086	6.6615977	5.9173107	6.5213165	6.2310133	6.551064	6.698749	6.5593185	6.1626344	5.9028034	6.516878	6.402557	6.228474	6.5533924	6.442807
10073	8.083757	8.35435	8.048861	8.506987	8.514924	8.620438	8.199191	8.185354	8.529146	8.389814	8.331336	8.055512	8.597689	8.253487	8.389438	8.122953	8.078393	8.070845	8.318928	8.338663	8.205189
10075	7.4826217	7.4295883	7.352649	7.5800424	7.665171	7.349535	7.5447583	7.543028	7.3158174	6.9361205	7.5800424	7.3454943	7.3570147	7.3721313	7.3713875	7.421138	7.663334	7.6991925	7.5408573	7.369084	7.7441316
100750326	5.8914933	5.8318233	5.5942564	5.6943383	5.8846216	5.7806005	5.716967	5.967997	5.7487783	5.833499	5.8090596	5.773583	5.8264723	5.9020524	5.7555704	5.6764245	5.7542615	5.648816	5.636747	5.8640747	5.807713
