GSM2367610	GSM2367611	GSM2367612	GSM2367613	GSM2367614	GSM2367615	GSM2367616	GSM2367617	GSM2367618	GSM2367619	GSM2367620
1017	7.827139	7.5596538	8.225243	9.072612	7.866692	8.21739	8.251907	8.282634	8.720291	8.403508	8.638729
10170	5.8297353	5.882801	5.6991997	6.009332	6.0359044	5.8394427	6.0725126	5.830791	5.834018	5.870348	5.872601
10171	10.062643	10.319461	9.909802	8.577078	11.004866	10.511929	10.091738	10.544444	9.446881	9.356498	10.200903
10174	6.1613164	6.1545362	5.9379687	6.1032796	6.246172	6.1162868	6.1023784	6.339058	6.052019	6.153905	6.1454697
10175	11.037276	11.165766	11.170048	10.455942	11.06494	10.905041	10.786062	11.067362	11.08266	11.470421	11.309023
10178	7.5114546	7.4562387	8.261817	8.707363	8.314085	8.461274	8.884231	7.53025	6.9286	8.465157	7.614245
10179	7.0180316	7.385816	7.355611	6.490244	7.019741	6.780164	6.2538567	7.003575	6.824282	6.4293256	7.013777
10181	9.9033575	9.901188	9.814365	9.979431	10.168714	10.144803	10.374035	10.285297	9.981683	10.676406	10.125595
10186	7.0623856	6.7505383	6.744455	6.8399153	6.833434	6.806442	6.6453304	6.580405	7.7456975	7.533885	6.6218605
10189	6.1686215	6.0464206	6.013365	6.2040215	6.074691	6.066128	6.194722	6.1708884	6.0134506	6.240296	5.9368305
1019	8.692037	9.021612	8.504456	9.665973	8.879218	8.72341	9.068234	8.672539	9.151113	8.696771	8.742966
10193	6.60325	6.844125	6.7763166	7.2037907	7.0141673	6.6806955	6.745874	6.6177597	6.827657	6.6662984	6.950039
10194	7.417641	7.587578	7.6317844	7.4424477	7.6700735	7.5614176	7.7454314	7.720988	7.6460724	7.6571603	7.4557767
10195	9.399386	9.573849	10.124857	9.366086	9.254898	9.526402	9.467494	9.652902	10.071504	9.384547	9.65694
10197	8.434921	8.198205	8.040632	8.586155	8.122953	8.1276455	7.9523077	8.195268	8.446874	8.420078	8.4382305
10198	6.6973567	7.04054	6.945925	7.2351313	6.9812593	7.0494685	6.883192	6.7936144	6.6875415	6.719039	6.897335
10199	8.742475	8.764599	8.717201	8.992114	8.906508	8.91507	9.010808	8.667874	9.482687	9.436196	8.918471
102	6.2525744	6.127749	6.2475533	6.082489	5.6455035	5.842919	5.827358	5.983089	5.969973	5.9060016	5.924235
1020	7.244689	7.2665005	7.7279453	8.332093	7.737384	7.5808315	7.844593	7.540631	7.8296685	7.1913056	7.708837
10200	7.0658174	7.109537	6.9314895	6.201887	6.420822	6.469532	6.6420593	6.358562	6.6147194	6.7283792	6.769578
10201	7.632288	7.28556	7.463931	7.432729	7.602555	7.7348847	7.61326	7.603073	7.5635195	7.4099965	7.748587
10203	6.4430795	7.1476035	6.728676	7.5162773	6.605745	6.7175674	7.0959373	6.4722457	7.306163	7.9463563	6.1827526
10207	6.0512924	6.883385	6.5348616	6.3516436	6.8096356	6.099367	6.053385	6.37036	6.1740813	6.3012557	6.1305494
10208	7.809898	8.385604	7.7109237	7.6961203	8.106805	7.90979	7.774124	7.927066	7.305002	7.409104	7.1846485
10211	9.302812	9.776107	9.393826	9.5681095	9.503644	9.390665	9.533212	9.5241585	9.94271	10.077896	9.623513
10212	9.572762	9.101171	8.936384	10.137926	9.451739	9.47233	9.322387	9.460258	9.801361	9.751312	9.5912895
10213	9.164086	9.187161	9.377247	9.5241585	8.741305	8.694858	8.565967	8.815999	9.357092	8.604275	8.791556
10214	6.176289	6.3118463	6.1246996	6.047406	6.1487956	6.2147846	6.1855893	6.263337	6.0739913	6.162262	6.288694
10220	6.534381	6.1713705	6.4248023	6.248067	6.484105	6.750997	6.458025	6.379807	6.4927945	6.690331	6.320871
10221	11.925346	11.050638	11.689592	10.443741	11.215929	11.549357	11.21431	12.00948	11.117589	11.198342	12.809396
10225	6.857811	5.993755	6.8765984	6.411087	6.808344	6.2528586	6.452931	6.573856	6.3306804	6.929659	6.7369266
10226	9.957244	8.989946	9.916936	9.512502	9.564203	9.598076	10.144803	9.781162	10.987933	9.609453	10.157632
10227	9.459666	9.362104	9.35595	9.171367	9.419399	9.299393	9.254898	9.43352	9.906493	9.630564	9.332558
10228	7.60826	7.6863213	7.535483	7.7223053	7.7425356	7.629063	7.460996	7.6436744	7.604932	7.7690854	7.5769587
10229	6.9219036	7.1955614	6.7682633	7.120092	6.9913564	7.201776	7.140753	7.0792294	6.602388	6.9584227	7.1066885
10231	7.1923423	6.3570795	7.3853416	6.4312973	7.0915637	7.7893014	7.2509055	6.765721	7.649974	8.288782	7.0948606
10235	6.401147	6.252912	6.5310616	6.369423	6.5366054	6.628779	6.5007625	6.4241304	6.5366054	6.586791	6.4074225
10236	10.20733	10.010834	10.223102	10.327576	9.981683	10.095903	10.423981	10.155914	10.403578	10.134887	10.3001795
