GSM2367621	GSM2367622	GSM2367623	GSM2367624	GSM2367625
10293	6.1004815	6.591856	5.833784	6.1209054	6.0233235
10294	10.74658	10.109251	10.936227	10.797729	10.494623
10297	5.8714185	5.7766547	6.009993	5.9517603	5.7728076
10298	7.638741	7.2725296	7.855366	7.5936675	7.4659348
10299	8.904669	8.952987	8.59428	9.015213	10.847704
103	10.84881	10.936227	11.176912	11.292995	11.154051
1030	6.183959	6.194984	6.3934374	6.449434	6.544613
10300	7.484518	7.333768	7.38818	7.615598	7.225915
10301	6.23263	6.0343986	6.033724	6.261902	6.389002
10302	7.347505	6.705382	6.7477245	7.0003004	6.5001273
10307	11.107824	10.044957	11.223528	10.715238	11.8620615
10309	6.1966767	6.160169	6.5969377	6.417287	6.6618843
1031	6.175083	7.1685886	6.7940946	6.737222	6.8724756
10312	8.372688	8.956928	9.000208	8.676796	8.824606
10314	9.267513	9.0050745	9.457397	8.797688	9.233496
10318	8.790032	8.764158	8.981624	8.817631	8.927349
10319	7.28604	8.646447	8.027456	7.71935	7.4446926
10322	6.1574917	5.9881268	6.320938	6.298352	6.158142
10329	9.459666	9.477769	9.848655	9.87787	9.369317
1033	7.092169	7.126566	6.9755216	6.0546923	6.119436
10331	6.044958	6.202042	5.990209	6.0480676	6.1186366
10335	6.1824903	6.1892147	6.006358	6.1309385	6.1885767
10342	10.510057	10.742767	10.459117	10.629734	10.432616
10346	7.899145	8.657117	8.056414	7.8490076	8.197889
10347	6.7682633	6.8115945	6.427642	6.565918	6.807142
10349	6.0436807	6.4051757	6.107186	6.121412	6.294087
10351	9.799915	9.680888	9.78749	9.564688	10.4009905
10360	7.6561036	8.3778715	7.359596	7.882001	8.162755
10363	7.2585254	7.227712	7.0677543	7.095269	7.4923406
10365	9.438952	10.623603	9.891964	9.3927355	9.717971
10367	9.341971	9.1525955	8.896774	8.75577	9.990126
10370	8.7364	8.707736	8.98467	9.773618	8.659506
10371	6.6406693	6.2739167	6.0680513	5.99932	6.2323756
10376	12.967784	13.031065	13.49786	13.08341	12.438751
10383	10.0187025	9.938972	10.614054	10.707957	10.0180435
10390	10.044957	9.977306	9.928444	9.426876	10.148689
103910	13.393835	12.923097	13.344378	13.491734	12.219988
10392	7.0760202	6.9310994	6.8883224	6.7573233	6.712553
10395	6.233421	6.2585382	6.6557	6.673714	6.1877723
10397	7.3086753	8.937714	8.941449	9.107606	8.908912
10398	5.9226365	6.5562634	6.1359096	6.0244927	5.8725486
1040	6.098143	6.766079	7.180656	6.20003	7.0817356
10400	9.968227	11.089402	10.893995	10.844062	9.735054
10401	6.4334292	6.368533	6.432624	6.2818885	6.6177597
10402	8.409037	8.669391	7.9613204	8.436038	9.065929
10403	6.3512735	6.322919	6.5422096	6.3190393	6.2698874
10409	8.575896	9.61527	9.065512	8.83401	8.616084
10410	13.208442	14.138888	13.928432	14.174866	13.393835
10412	9.529657	9.89927	9.2653	9.766575	10.164299
10413	8.512276	8.890129	8.450259	8.336987	8.340004
10417	6.6934104	7.577954	7.759697	7.6786776	7.0977645
10418	6.4971867	7.217989	6.11966	6.726229	6.1901436
10419	7.716943	8.0624275	7.84406	8.13451	8.14999
10421	10.408253	10.209754	9.867904	9.864166	9.424649
10422	9.517042	8.940599	9.49651	9.341971	9.916936
10424	11.567938	11.393979	11.684384	11.310322	11.7946415
10425	9.249493	9.032168	9.270045	9.360642	9.67607
10427	7.684227	7.7538767	7.8893003	7.7907386	7.5689883
10428	8.388842	7.6470504	8.338663	8.470123	7.444391
1043	8.891066	9.250995	8.784344	7.7916102	8.9738035
10430	10.663245	10.704797	10.296997	10.070752	9.951177
10432	9.080633	9.430836	9.1264515	9.124692	9.553959
10434	5.7261844	5.7827907	5.7782693	6.1211505	5.84687
10435	6.1328073	6.5350976	6.2423873	6.365376	5.860098
10436	9.045284	9.078287	8.754131	8.9895	8.457682
10437	8.614891	9.303304	8.82347	8.30445	8.555681
10438	6.2610564	5.9810176	5.8757854	6.025179	5.793396
10439	6.1642447	6.420822	6.3856544	6.464715	6.1774726
10443	8.767362	8.80229	9.610606	8.854308	9.818057
10445	9.147774	9.187161	9.069216	9.217629	9.422085
10446	5.6933084	6.001142	5.9172993	5.9288764	5.8436384
10449	10.994522	10.631697	11.207011	11.273318	10.110692
10450	6.0639987	6.064798	5.9477563	5.9650526	6.0887356
10452	9.710957	9.516499	9.767809	9.940449	9.659981
10454	7.28556	7.5810685	7.570246	7.5075407	7.6768374
10455	10.818442	10.976116	10.660118	11.013625	11.002419
10457	9.844467	9.564203	9.930451	9.07068	9.059958
10458	9.776807	9.187668	8.81354	9.290636	9.63158
10460	6.5932374	6.370228	6.3642383	6.166121	6.5112767
10461	7.0007033	7.835021	7.3987575	7.5403748	7.8007126
10463	9.000208	8.632565	8.873635	8.735351	8.795628
10465	9.106261	8.235544	8.458377	7.9811573	8.367975
10466	8.143907	6.6931286	6.989628	6.9689717	6.673714
10469	8.002005	7.488132	7.7530494	8.083183	8.193374
1047	6.0190687	5.8130713	6.0864687	5.8011184	6.1604476
10471	7.6265125	7.5403748	7.3416305	7.8515058	7.698674
10472	6.2214346	6.122283	6.257345	6.14122	5.992206
10473	8.363837	8.920312	8.540896	8.781839	8.236905
10474	7.0925956	7.3502617	7.3264065	7.279287	7.351476
10476	13.980941	12.556025	12.836495	13.03909	12.805904
10478	7.4615097	6.9070354	6.998729	7.3561006	7.205259
10479	7.8217077	7.5257916	7.6574593	7.6194177	7.6505957
10483	9.520983	9.393261	9.15917	9.621903	9.251538
10484	6.11985	5.899923	6.06281	5.8260655	5.8221097
10486	8.905539	9.38612	9.596179	9.326035	8.72341
10487	11.848219	11.642978	11.584244	11.442302	11.402342
10489	7.463181	7.4591813	7.6087804	7.4644303	7.2570333
10490	7.412185	7.1245227	7.2636147	7.097175	7.030093
10493	8.465157	8.339655	8.274202	7.9178147	8.359764
10494	8.467053	8.584922	8.535327	8.724738	9.0340805
10495	5.9633493	6.1132636	6.016264	6.204428	6.28011
10497	7.2809196	6.651991	7.407169	7.0180316	7.3609824
1050	10.980234	11.752001	11.053287	11.002419	12.44864
10500	6.259342	6.280056	6.349611	6.790816	6.929496
10501	5.8813295	5.9562526	5.952488	6.166731	5.884947
