Genes	GSM2367610	GSM2367611	GSM2367612	GSM2367613	GSM2367614	GSM2367615	GSM2367616	GSM2367617	GSM2367618	GSM2367619	GSM2367620	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
10051	6.071316	5.865544	5.9509244	5.904605	5.8394294	6.048808	5.9592195	5.987217	6.059824	5.9970946	5.8872423	6.144836	6.194984	6.0574584	6.142118	5.7950783	5.974946	5.9340634	6.071857	5.8759203	5.9063764	6.0218964	5.8392076	5.7498994
10053	6.027107	5.7837534	5.9737935	5.9960723	5.8595586	6.02666	5.8370104	5.902436	5.8787346	5.935317	6.372586	5.6824446	5.907002	6.103414	5.9290395	5.8373003	5.9374623	5.6337647	5.688523	5.979695	5.8767543	5.9132423	5.863484	5.9882827
10055	10.799934	10.441143	10.86965	11.551238	10.920035	10.423981	10.789531	10.900215	11.24831	10.892826	11.145488	10.851068	10.878725	10.96645	11.044081	10.837254	10.932449	10.844062	11.128408	10.394032	10.824324	10.57451	11.28015	10.725907
10057	7.836226	7.787371	7.4876943	8.267125	8.077472	7.8802443	8.100321	7.7879252	7.7452	7.9346933	7.8288	7.8875685	7.684227	7.780905	7.610049	7.3240476	8.0136175	8.234946	8.187646	7.0278068	7.954435	7.533351	8.980758	7.7727876
1006	5.736613	5.6349516	5.8002276	5.5465865	5.5009737	5.743319	5.701126	5.527951	5.858712	5.5169153	5.7652526	5.502461	5.748341	5.516343	5.581915	5.748703	5.554006	5.652713	5.6587024	5.7080684	5.559646	5.496172	5.7525983	5.7232943
10060	7.2490783	6.4176025	7.2009444	5.9592557	6.7445917	7.269069	6.5972047	6.558693	6.927313	6.459906	6.6847606	7.280247	7.5599074	7.6090193	6.9028254	6.8686686	7.3288593	6.7563224	7.003575	7.250672	7.3101974	7.335349	6.8676195	7.831291
10061	7.1432414	7.2102394	7.3598113	7.120279	6.9682617	7.251774	7.3151474	7.2797723	7.5769587	7.181038	7.6706223	7.1609287	6.7890887	7.2157106	7.685245	6.534381	7.143942	7.003953	6.823463	7.6018076	7.124702	6.971185	7.0088663	7.0915637
10062	10.037192	9.992974	10.098894	9.561825	10.159077	10.019433	10.304052	9.824548	9.704881	9.964167	9.789159	10.353489	9.656423	10.165764	9.257991	10.184235	10.103876	10.632645	10.53564	9.451739	10.351933	10.40557	10.999882	10.508077
10066	7.1602893	6.869029	7.2007422	6.9726577	7.216164	7.388449	7.4260144	7.33039	7.4341855	7.494021	7.412412	7.2989893	6.7670407	7.1574445	6.86639	7.039536	7.1593795	7.399455	7.596136	6.753441	7.1417875	7.122849	7.364858	7.0094767
10067	9.401387	9.365162	9.536925	10.288592	9.364567	9.461924	9.665973	9.375057	10.052686	9.576093	9.515355	9.283625	9.125544	9.505675	9.413348	9.344108	9.345153	9.513022	9.805389	9.59491	9.404527	9.219633	9.50778	9.422085
1007	6.1438355	6.0832014	6.0865445	5.9622784	6.270883	6.267181	6.376966	6.376966	6.316364	6.2874813	6.111811	6.378598	6.487513	6.5907173	6.249926	6.3347898	6.554504	6.513928	6.612181	6.6897545	6.308488	6.3987074	6.3804502	6.340771
10071	5.912968	6.1554093	6.0264225	5.900048	6.0246644	6.024359	5.9334745	5.771799	5.857308	5.856437	5.8785644	5.9693727	5.7708287	6.1074553	6.035952	5.967233	5.945218	6.091135	5.990826	6.024738	5.8119187	6.0758796	6.020933	5.9838347
10072	6.477364	7.0502996	6.9335594	6.4223857	6.6413913	6.591997	6.7488027	7.223573	7.166169	6.3877892	6.840895	5.9173107	6.5213165	6.2310133	6.551064	6.698749	6.5593185	6.1626344	5.9028034	6.516878	6.402557	6.228474	6.5533924	6.442807
10073	8.021155	8.530557	8.507345	8.646082	8.61275	8.672539	8.391488	8.341077	8.274202	7.9645233	8.337952	8.529146	8.389814	8.331336	8.055512	8.597689	8.253487	8.389438	8.122953	8.078393	8.070845	8.318928	8.338663	8.205189
10075	7.8257356	7.7338424	7.5208063	8.48802	7.5614176	7.349535	7.648089	7.6344466	7.6280036	7.7779	7.756048	7.3158174	6.9361205	7.5800424	7.3454943	7.3570147	7.3721313	7.3713875	7.421138	7.663334	7.6991925	7.5408573	7.369084	7.7441316
100750326	5.746038	5.5558662	5.8815193	5.819213	5.756718	5.897416	6.1607018	6.1011963	6.389835	6.1728706	5.8251796	5.7487783	5.833499	5.8090596	5.773583	5.8264723	5.9020524	5.7555704	5.6764245	5.7542615	5.648816	5.636747	5.8640747	5.807713
10076	6.37832	5.963336	6.0460396	5.8854594	6.1684494	6.044804	6.4912424	6.3410635	6.330414	6.357014	6.182915	5.683064	5.8063254	5.8889885	5.971976	6.290833	5.959444	5.949252	5.9918466	5.933013	5.8151264	5.8633323	5.982259	5.912556
10079	10.109251	9.781162	9.758979	10.521307	9.722341	9.947838	10.323584	9.780593	10.0180435	10.513882	9.883163	9.867904	9.930451	9.88956	10.111589	9.744568	10.174759	10.4476	10.02225	10.374035	9.843108	9.136945	9.982991	9.482687
10081	7.643125	7.746296	7.714287	7.738537	7.7223053	7.6450853	7.877145	7.6873746	7.5736504	7.644528	7.3750987	7.787371	7.6450853	7.785369	7.7685246	7.844593	7.7215333	7.823569	8.153091	7.8071837	7.7895646	7.7357616	7.55007	7.9460435
10082	8.371918	8.133116	8.183101	8.132824	8.626254	8.43789	8.734216	8.586913	8.835173	8.972845	8.474432	8.289099	8.412463	8.234675	8.76776	8.594626	8.758006	8.869312	9.302812	8.616084	8.434921	8.467403	8.813927	8.631761
100861522	5.9599676	5.949456	5.8310003	6.2503877	6.0878534	6.0579996	5.9492884	5.9027243	5.908307	5.950872	6.086792	5.9174037	5.9682813	5.692487	6.1120353	5.688674	5.9765825	5.4632936	5.843774	5.8617296	5.7393756	6.024609	5.639223	5.697121
100862704	6.764937	7.2130733	6.6177597	6.8505955	6.9366403	7.121855	6.9346294	6.9098744	6.778266	7.122454	7.063426	7.0496583	7.3528967	7.300086	6.784102	7.011232	6.965617	7.814136	7.188269	7.496515	7.0092745	7.0836487	7.160065	7.2430563
10087	9.329061	9.122659	8.820392	9.4933605	9.514699	9.005522	10.098894	9.430256	8.830235	10.319461	9.457965	9.488368	9.142006	9.497052	9.002769	9.630564	9.176737	9.20941	10.322711	9.389602	9.643105	9.671709	10.110692	9.577265
100873955	6.0551276	6.2113075	6.0905123	6.118679	5.8909035	6.1637926	6.1821218	6.190715	6.2464147	6.245084	6.1407647	6.1870008	6.1582932	6.1322823	6.201849	6.183083	6.12864	6.1740384	6.2377787	6.2603087	6.239091	6.2683344	6.1398454	6.340053
